Account_ID,Activities_Last_30_Days,Employees,ZoomInfo_Employee_Range,ZoomInfo_Revenue_Range,Organic_Visits,Pct_Organic_Visits,SEO_Visits,URLs_Indexed,ZoomInfo_Global_HQ_Country,Annual_Revenue_converted,Adjusted_Industry,Account_ICP_Score,Account_ICP_Tier,Page_Count,Page_Count_Range,Alexa_Rank,Parent_Account_Status,y
00124000006pkO6,0.0,1000.0,unknown,unknown,29943088.0,0.57,33065474.0,0.0,non_US,277825000.0,Media,95.833,Tier A,941000.0,Between 500K and 1M,3572.0,Prospect,no
00124000005OAC8,11.0,1000.0,250 - 500,$100 mil. - $250 mil.,11060610.0,0.63,11060610.0,466000.0,US,500000000.0,Media,91.667,Tier A,466000.0,Between 250K and 500K,5079.0,unknown,yes
00124000005OF6k,31.0,8000.0,unknown,unknown,21676777.0,0.46,27159975.0,197000.0,non_US,2444860000.0,Retail,100.0,Tier A,374000.0,Between 250K and 500K,17373.0,Prospect,yes
00124000006q24M,2.0,15000.0,unknown,unknown,1592463.0,,1592463.0,507000.0,non_US,5000850000.0,Retail,87.5,Tier A,507000.0,Between 500K and 1M,9918.0,Prospect,yes
00124000005ObdY,0.0,10000.0,unknown,unknown,312407.0,0.38,21837133.0,0.0,non_US,1111300000.0,Retail,100.0,Tier A,7576680.0,>1M,26933.0,unknown,no
00124000008e1M5,9.0,500.0,"500 - 1,000",$250 mil. - $500 mil.,15667488.0,0.54,15667488.0,924000.0,US,211864407.0,Classified,91.667,Tier A,924000.0,Between 500K and 1M,2920.0,unknown,yes
0012400000GCxSQ,4.0,10000.0,unknown,unknown,17424365.0,0.66,17424365.0,259000.0,non_US,0.0,Retail,100.0,Tier A,259000.0,Between 250K and 500K,16584.0,Prospect,no
00124000007ngPc,0.0,10000.0,"5,000 - 10,000",$1 bil. - $5 bil.,19453589.0,0.55,52849352.0,4520000.0,US,1111300000.0,Other,100.0,Tier A,8185050.0,>1M,711.0,unknown,no
001240000068gnf,20.0,209.0,unknown,unknown,27917832.0,0.7807,46001107.0,1050000.0,non_US,127799500.0,Other,91.667,Tier A,3924866.0,>1M,16941.0,Prospect,yes
001240000066vJI,9.0,1000.0,unknown,unknown,32560270.0,0.38,43406765.0,4630000.0,non_US,277825000.0,Media,95.833,Tier A,7073000.0,>1M,1647.0,unknown,no
001240000068eHo,0.0,5000.0,unknown,unknown,2537.0,0.6681,78961010.0,3840000.0,non_US,1111300000.0,Other,75.0,Tier A,20657000.0,>1M,267680.0,Prospect,yes
00124000009XI45,2.0,500.0,unknown,unknown,47540037.0,0.28,54461669.0,2950000.0,non_US,276325000.0,Retail,95.833,Tier A,4050000.0,>1M,561.0,Prospect,no
00124000006nuiJ,9.0,3200.0,unknown,unknown,42702331.0,0.45,42702331.0,163000.0,non_US,2361512500.0,Media,100.0,Tier A,163000.0,Between 100K and 250K,4809.0,Prospect,yes
00124000006nhim,12.0,3000.0,unknown,unknown,8191742.0,0.49,8376770.0,1010000.0,non_US,833475000.0,Retail,100.0,Tier A,1010962.0,>1M,4814.0,Prospect,yes
0012400001BNCkH,4.0,1400.0,"1,000 - 5,000",$1 bil. - $5 bil.,12702280.0,0.23,18444827.0,14100000.0,US,680000000.0,Other,100.0,Tier A,20550500.0,>1M,1216.0,Prospect,no
0011p00002ZuMDu,0.0,10000.0,20 - 50,$5 mil. - $10 mil.,,0.65,0.0,1370000.0,non_US,1111300000.0,Retail,62.5,Tier A,1370000.0,>1M,3228.0,Prospect,no
00124000006qCkH,13.0,25.0,unknown,unknown,24021443.0,0.59,27789829.0,1530000.0,non_US,11113000.0,Media,95.833,Tier A,1530000.0,>1M,16800.0,Prospect,yes
00124000006pmE1,32.0,120.0,unknown,unknown,23164118.0,0.6312,43558930.0,1740000.0,non_US,16669500.0,Classified,91.667,Tier A,5070000.0,>1M,1000001.0,Prospect,yes
00124000007SXTj,2.0,800.0,unknown,unknown,42688263.0,0.57,42688263.0,2100000.0,non_US,50008500.0,Classified,95.833,Tier A,2100000.0,>1M,15726.0,unknown,yes
0012400001KauBh,16.0,1600.0,"1,000 - 5,000",unknown,6922767.0,0.4,6922767.0,2000000.0,US,1100000000.0,Retail,100.0,Tier A,2000000.0,>1M,1659.0,Lost Customer,yes
0012400000BRC1L,3.0,4000.0,unknown,unknown,83547947.0,0.73,83547947.0,14700000.0,non_US,833475000.0,Classified,95.833,Tier A,14700000.0,>1M,6698.0,Prospect,yes
00124000009x9GK,23.0,4000.0,"1,000 - 5,000",$500 mil. - $1 bil.,8912700.0,0.5,9450415.0,1350000.0,US,700000000.0,Classified,100.0,Tier A,1496000.0,>1M,1000001.0,unknown,yes
00124000007xCtc,0.0,5000.0,250 - 500,unknown,9115078.0,0.17,9115078.0,14300000.0,US,1111300000.0,Classified,100.0,Tier A,14300000.0,>1M,588.0,Active Customer,no
0011p00001Sh8r9,0.0,10000.0,unknown,unknown,386400000.0,,386400000.0,,non_US,,Other,50.0,Tier A,,unknown,70.0,Prospect,no
00124000007xFiM,0.0,400.0,unknown,unknown,4918079.0,0.54,4918079.0,3850000.0,non_US,444520000.0,Classified,95.833,Tier A,3850000.0,>1M,12273.0,Prospect,no
0012400000lwCi1,54.0,5000.0,unknown,unknown,13460638.0,0.19519999999999998,13460638.0,5870000.0,non_US,0.0,Classified,91.667,Tier A,5870000.0,>1M,3165.0,Prospect,yes
0012400001GmZcI,0.0,10001.0,"Over 10,000",unknown,751273.0,0.41,16287436.0,23000.0,US,10000000000.0,Travel,100.0,Tier A,1907000.0,>1M,1000001.0,Prospect,no
00124000009VlrC,0.0,45000.0,"Over 10,000",Over $5 bil.,7558112.0,0.12,7558112.0,240000.0,US,19181452000.0,Classified,95.833,Tier A,240000.0,Between 100K and 250K,816.0,unknown,no
0011p00001USPde,8.0,1000.0,unknown,unknown,14768055.0,0.17,14768055.0,10500000.0,non_US,55565000.0,Media,95.833,Tier A,10500000.0,>1M,2070.0,unknown,yes
0012400000Idtkd,23.0,350.0,unknown,unknown,191496.0,,191496.0,7260000.0,non_US,111130000.0,Classified,70.833,Tier A,7260000.0,>1M,29404.0,unknown,yes
00124000018rds6,0.0,5000.0,unknown,unknown,20503.0,,47421861.0,,non_US,1311577953.5,Other,91.667,Tier A,,<500,1000001.0,unknown,no
00124000007yugN,0.0,600.0,unknown,unknown,7515964.0,0.77,7515964.0,2890000.0,non_US,55565000.0,Retail,87.5,Tier A,2890000.0,>1M,9084.0,Prospect,no
00124000008d8D7,12.0,10000.0,unknown,unknown,22575260.0,,22575260.0,826000.0,non_US,1311577953.5,Retail,100.0,Tier A,826000.0,Between 500K and 1M,5402.0,unknown,yes
0012400000AMEKD,0.0,500.0,unknown,unknown,7023183.0,0.48,7023183.0,2150000.0,non_US,55565000.0,Media,95.833,Tier A,2150000.0,>1M,6661.0,Lost Customer,no
0012400001R0khO,0.0,700.0,"5,000 - 10,000",$1 bil. - $5 bil.,25216094.0,0.2,25216094.0,14400000.0,US,200000000.0,Classified,100.0,Tier A,14400000.0,>1M,228.0,Lost Customer,yes
0012400001BQAwe,27.0,1250.0,"500 - 1,000",$100 mil. - $250 mil.,10461.0,0.15,5454870.0,1500.0,US,350000000.0,Classified,100.0,Tier A,1031500.0,>1M,1000001.0,unknown,yes
0012400000x0pLo,35.0,10000.0,"Over 10,000",Over $5 bil.,72779.0,0.24,14386958.0,3160.0,non_US,1311577953.5,Classified,100.0,Tier A,432860.0,Between 250K and 500K,478304.0,unknown,no
0012400000x0oug,8.0,5000.0,unknown,unknown,28307.0,,4228686.0,1210.0,non_US,131157795.35,Retail,100.0,Tier A,432210.0,Between 250K and 500K,1000001.0,unknown,no
0012400001BOjqP,8.0,643.0,"500 - 1,000",unknown,41423962.0,0.65,41423962.0,40200000.0,US,144067797.0,Classified,100.0,Tier A,40200000.0,>1M,315.0,Prospect,yes
0011p00001USVN7,0.0,200.0,unknown,unknown,7441718.0,0.75,7441718.0,1660000.0,non_US,1000000.0,Classified,91.667,Tier A,1660000.0,>1M,12934.0,unknown,no
0012400000boZYk,0.0,,unknown,unknown,42365202.0,0.34,42365202.0,10800000.0,non_US,,Other,70.833,Tier A,10800000.0,>1M,1000001.0,unknown,no
0012400000DobMd,0.0,1000.0,unknown,unknown,20557524.0,,43207920.0,2960000.0,non_US,111130000.0,Classified,91.667,Tier A,6030000.0,>1M,180209.0,unknown,yes
0012400000DobBO,9.0,200.0,unknown,unknown,505747920.0,0.65,505747920.0,90100000.0,non_US,66678000.0,Media,95.833,Tier A,90100000.0,>1M,266.0,Prospect,yes
0011p00001kXwpn,0.0,1000.0,250 - 500,$100 mil. - $250 mil.,55595978.0,0.34,57621904.0,37300000.0,US,10000000.0,Other,100.0,Tier A,37572000.0,>1M,178.0,Prospect,no
0012400001IVGBW,0.0,10.0,unknown,unknown,40824935.0,0.82,40824935.0,9360000.0,non_US,13115779.53,Other,66.667,Tier A,9360000.0,>1M,8604.0,unknown,no
0012400000Xw7RN,0.0,1000.0,"1,000 - 5,000",unknown,4118688.0,0.3,4118688.0,2280000.0,US,1111300000.0,Classified,95.833,Tier A,2280000.0,>1M,3122.0,Prospect,no
0012400000XwGhe,34.0,818.0,"500 - 1,000",$100 mil. - $250 mil.,21330507.0,0.5,82554342.0,85600.0,US,1000000.0,Media,91.667,Tier A,702600.0,Between 500K and 1M,1059.0,unknown,no
0012400000F64qg,8.0,40000.0,"500 - 1,000",$250 mil. - $500 mil.,6989480.0,0.18,6989480.0,1220000.0,US,200000000.0,Classified,95.833,Tier A,1220000.0,>1M,131.0,unknown,yes
0012400000DobMn,6.0,100.0,unknown,unknown,22650396.0,0.67,22650396.0,3070000.0,non_US,16669500.0,Classified,87.5,Tier A,3070000.0,>1M,180209.0,Active Customer,yes
0011p00001SgdVv,5.0,5000.0,"Over 10,000",$250 mil. - $500 mil.,20076.0,0.21,8058245.0,0.0,US,1000000000.0,Media,100.0,Tier A,11919500.0,>1M,399233.0,Prospect,no
0012400000cr2Gn,0.0,5000.0,"1,000 - 5,000",unknown,59498035.0,0.34,67837175.0,3540000.0,US,50000000.0,Media,100.0,Tier A,3540000.0,>1M,175.0,Lost Customer,yes
0012400000L5dGo,0.0,5000.0,unknown,unknown,37218627.0,0.42,37218627.0,9130000.0,non_US,250000000.0,Classified,91.667,Tier A,9130000.0,>1M,374.0,unknown,no
0012400000MIvzm,0.0,10000.0,"5,000 - 10,000",unknown,14110860.0,0.22,14110860.0,2840000.0,US,55565000.0,Retail,100.0,Tier A,2840000.0,>1M,616.0,unknown,no
0012400000PCTCn,30.0,16100.0,"Over 10,000",Over $5 bil.,68384651.0,0.26,68384651.0,176000000.0,US,4443478261.0,Classified,100.0,Tier A,176000000.0,>1M,14.0,Lost Customer,yes
0012400000dK6TA,0.0,500.0,unknown,unknown,,,35391284.0,39.0,non_US,1111300000.0,Retail,95.833,Tier A,968039.0,Between 500K and 1M,1000001.0,unknown,no
0012400000dJxDJ,0.0,1000.0,"500 - 1,000",unknown,6000300.0,0.35,6000300.0,466000.0,non_US,111130000.0,Media,95.833,Tier A,466000.0,Between 250K and 500K,2631.0,unknown,no
0012400000Xw45G,25.0,5000.0,"1,000 - 5,000",$250 mil. - $500 mil.,16965285.0,0.38,17588088.0,20500000.0,US,1111300000.0,Classified,100.0,Tier A,21880000.0,>1M,1390.0,unknown,no
0012400000PE6hp,1.0,31000.0,"Over 10,000",Over $5 bil.,9258310.0,0.12,9258310.0,1140000.0,US,9443361265.2,Other,79.167,Tier A,1140000.0,>1M,146.0,unknown,yes
00124000015dUHE,0.0,26100.0,unknown,unknown,128411626.0,,128411626.0,70300000.0,non_US,7186086957.0,Other,100.0,Tier A,70300000.0,>1M,43.0,Lost Customer,yes
0012400000MIRXd,0.0,2000.0,unknown,unknown,11595869.0,0.86,11595869.0,8080000.0,non_US,30000000.0,Other,91.667,Tier A,8080000.0,>1M,2362.0,unknown,no
0012400000V7HFn,1.0,200.0,100 - 250,$50 mil. - $100 mil.,14576801.0,0.7,14576801.0,4230000.0,US,111130000.0,Other,100.0,Tier A,4230000.0,>1M,4294.0,unknown,no
0012400000V7HGb,11.0,1.0,"Over 10,000",Over $5 bil.,4479468.0,0.52,4479468.0,760000.0,US,1000000.0,Retail,91.667,Tier A,760000.0,Between 500K and 1M,6148.0,unknown,yes
0011p00001uKfl7,0.0,10000.0,250 - 500,$50 mil. - $100 mil.,4460497.0,0.38,4460497.0,335000.0,US,1000000000.0,Travel,91.667,Tier A,335000.0,Between 250K and 500K,1000001.0,unknown,no
0012400000V7HBH,8.0,1000.0,"1,000 - 5,000",$100 mil. - $250 mil.,11217125.0,0.34,11217125.0,11900000.0,US,111130000.0,Classified,100.0,Tier A,11900000.0,>1M,984.0,unknown,no
0012400000UWqn0,3.0,10.0,unknown,unknown,16722034.0,0.57,16722034.0,11900000.0,non_US,1000000.0,Other,100.0,Tier A,11900000.0,>1M,537.0,unknown,no
0012400000fI6s4,0.0,500.0,unknown,unknown,5083829.0,0.35,5083829.0,2090000.0,non_US,111130000.0,Classified,87.5,Tier A,2090000.0,>1M,3253.0,Prospect,no
