Account_ID,Activities_Last_30_Days,Employees,ZoomInfo_Employee_Range,ZoomInfo_Revenue_Range,Organic_Visits,Pct_Organic_Visits,SEO_Visits,URLs_Indexed,ZoomInfo_Global_HQ_Country,Annual_Revenue_converted,Adjusted_Industry,Account_ICP_Score,Account_ICP_Tier,Page_Count,Page_Count_Range,Alexa_Rank,Parent_Account_Status,y
0011p00002SeS3O,0.0,10000.0,"5,000 - 10,000",$1 bil. - $5 bil.,25216094.0,0.2,25216094.0,14400000.0,US,1000000000.0,Classified,100.0,Tier A,14400000.0,>1M,228.0,Lost Customer,prospect
0011p00002SeSjL,0.0,10000.0,20 - 50,$5 mil. - $10 mil.,6958192.0,0.54,6958192.0,4130000.0,non_US,1000000000.0,Other,100.0,Tier A,4130000.0,>1M,5062.0,-,prospect
0011p00002SeSoX,0.0,10.0,10 - 20,$1 mil. - $5 mil.,13390292.0,0.42,13390292.0,6360000.0,non_US,1900000.0,Other,62.5,Tier A,6360000.0,>1M,6435.0,-,prospect
0011p00002SeS3T,0.0,10000.0,"Over 10,000",Over $5 bil.,49020156.0,0.31,49020156.0,30900000.0,US,1000000000.0,Classified,95.833,Tier A,30900000.0,>1M,286.0,Lost Customer,prospect
0011p00001Sh8ba,9.0,500.0,50 - 100,-,11144888.0,0.54,11144888.0,6130000.0,US,10000000.0,Travel,100.0,Tier A,6130000.0,>1M,3207.0,-,prospect
0011p00002SeRgh,0.0,5000.0,"1,000 - 5,000",$500 mil. - $1 bil.,18449345.0,,18449345.0,8160000.0,non_US,1000000000.0,Media,100.0,Tier A,8160000.0,>1M,1152.0,-,prospect
0011p00002SeS3g,0.0,,-,-,93846276.0,0.41,93846276.0,67100000.0,-,1000000.0,Other,100.0,Tier A,67106320.0,>1M,358.0,-,prospect
0011p00002SebWz,0.0,205.0,100 - 250,$25 mil. - $50 mil.,6175974.0,0.83,6175974.0,42800000.0,non_US,41000000.0,Other,100.0,Tier A,42800000.0,>1M,5234.0,-,prospect
0011p00002SebdQ,0.0,50.0,100 - 250,$5 mil. - $10 mil.,13461034.0,0.74,13461034.0,1620000.0,non_US,10000000.0,Other,100.0,Tier A,1620000.0,>1M,9332.0,-,prospect
0011p00002SebWB,0.0,11231.0,"Over 10,000",Over $5 bil.,3304633.0,,3304633.0,158000000.0,non_US,7500000000.0,Other,91.667,Tier A,158000000.0,>1M,1000001.0,-,prospect
